ATP6V1D	ATPase H+ transporting V1 subunit D	ATP6M	VATD	VMA8												
ATP6V1E1	ATPase H+ transporting V1 subunit E1	ATP6E	ATP6V1E	P31	Vma4	ATP6E2										
ATP6V1E2	ATPase H+ transporting V1 subunit E2	ATP6EL2	ATP6V1EL2	MGC9341	VMA4	ATP6E1										
ATP6V1F	ATPase H+ transporting V1 subunit F	ATP6S14	VATF	Vma7												
ATP6V1G1	ATPase H+ transporting V1 subunit G1	ATP6J	ATP6G1	ATP6GL	Vma10	ATP6G	DKFZp547P234									
ATP6V1G2	ATPase H+ transporting V1 subunit G2	ATP6G	ATP6G2	Vma10	NG38	Em:AC004181.3										
ATP6V1G3	ATPase H+ transporting V1 subunit G3	ATP6G3	Vma10													
ATP6V1H	ATPase H+ transporting V1 subunit H	CGI-11	SFD	VMA13	SFDalpha	SFDbeta	vacuolar ATP synthase subunit H									
ATP6V0A1	ATPase H+ transporting V0 subunit a1	VPP1	ATP6N1	ATP6N1A	a1	Vph1	Stv1									
ATP6V0A2	ATPase H+ transporting V0 subunit a2	TJ6	a2	TJ6s	TJ6M	ATP6a2	J6B7	ATP6N1D	Vph1	Stv1	infantile malignant osteopetrosis					
ATP6V0A4	ATPase H+ transporting V0 subunit a4	ATP6N1B	ATP6N2	RTA1C	RDRTA2	VPP2	RTADR	a4	Vph1	Stv1						
ATP6V0B	ATPase H+ transporting V0 subunit b	ATP6F	VMA16	HATPL												
ATP6V0C	ATPase H+ transporting V0 subunit c	ATPL	ATP6C	ATP6L	VATL	Vma3										
ATP6V0D1	ATPase H+ transporting V0 subunit d1	ATP6D	ATP6DV	VATX	VPATPD	P39	Vma6									
ATP6V0D2	ATPase H+ transporting V0 subunit d2	ATP6D2	FLJ38708	VMA6												
ATP6V0E1	ATPase H+ transporting V0 subunit e1	ATP6H	ATP6V0E	M9.2												
ATP8A1	ATPase phospholipid transporting 8A1	ATPIA														
ATP8B1	ATPase phospholipid transporting 8B1	FIC1	BRIC	PFIC1	ATPIC	PFIC										
ATP8B2	ATPase phospholipid transporting 8B2	ATPID	KIAA1137													
ATP10A	ATPase phospholipid transporting 10A (putative)	ATP10C	ATPVA	ATPVC	KIAA0566											
ATP11A	ATPase phospholipid transporting 11A	ATPIH	ATPIS	KIAA1021	potential phospholipid-transporting ATPase IH	phospholipid-translocating ATPase										
ATP11C	ATPase phospholipid transporting 11C	ATPIG	ATPIQ													
AUH	AU RNA binding methylglutaconyl-CoA hydratase															
AZIN2	antizyme inhibitor 2	ADC	ODC-p	ODC1L	KIAA1945	ODCp	ornithine decarboxylase like									
B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	B3GALT3	beta3Gal-T3	galT3	P1	GLOB	globoside synthase	P antigen synthase								
B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2	MGC39558														
